c1,c2,epoche,layer,accuracy,f1-score,task,model,random
,0,0,0,0.29579265457926546,0.30849685611693795,Tree depth,t5,FALSE
,1,0,1,0.2712691771269177,0.2816554233895711,Tree depth,t5,FALSE
,2,0,2,0.2684797768479777,0.27676515304443616,Tree depth,t5,FALSE
,3,0,3,0.2662715016271502,0.2742592212094441,Tree depth,t5,FALSE
,4,0,4,0.26092515109251513,0.26488010100167825,Tree depth,t5,FALSE
,5,0,5,0.2612738261273826,0.265453248131644,Tree depth,t5,FALSE
,6,0,6,0.26197117619711763,0.26631563836167194,Tree depth,t5,FALSE
,7,20000,0,0.298930729893073,0.31302131956172274,Tree depth,t5,FALSE
,8,20000,1,0.2870757787075779,0.300632116700336,Tree depth,t5,FALSE
,9,20000,2,0.2811483031148303,0.2941804118516749,Tree depth,t5,FALSE
,10,20000,3,0.2807996280799628,0.2920640152316448,Tree depth,t5,FALSE
,11,20000,4,0.27370990237099024,0.2833519616904268,Tree depth,t5,FALSE
,12,20000,5,0.2704556020455602,0.2796994980727306,Tree depth,t5,FALSE
,13,20000,6,0.26673640167364016,0.27330638602690555,Tree depth,t5,FALSE
,14,40000,0,0.29556020455602044,0.3111138136891994,Tree depth,t5,FALSE
,15,40000,1,0.29323570432357043,0.30538608009679785,Tree depth,t5,FALSE
,16,40000,2,0.2859135285913529,0.2997017259290448,Tree depth,t5,FALSE
,17,40000,3,0.28289167828916784,0.2931764985321953,Tree depth,t5,FALSE
,18,40000,4,0.2726638772663877,0.28336105651690674,Tree depth,t5,FALSE
,19,40000,5,0.2716178521617852,0.2821783676630768,Tree depth,t5,FALSE
,20,40000,6,0.2791724779172478,0.2889059559504693,Tree depth,t5,FALSE
,21,60000,0,0.299628079962808,0.3183706212482953,Tree depth,t5,FALSE
,22,60000,1,0.3011390051139005,0.3164005356486988,Tree depth,t5,FALSE
,23,60000,2,0.296838679683868,0.30831703214510586,Tree depth,t5,FALSE
,24,60000,3,0.28556485355648537,0.299657579524515,Tree depth,t5,FALSE
,25,60000,4,0.2795211529521153,0.2920426959014994,Tree depth,t5,FALSE
,26,60000,5,0.2744072524407252,0.2856178287854118,Tree depth,t5,FALSE
,27,60000,6,0.27382612738261275,0.2839691038139345,Tree depth,t5,FALSE
,28,80000,0,0.3002092050209205,0.3165034326308135,Tree depth,t5,FALSE
,29,80000,1,0.2985820548582055,0.3124437920876303,Tree depth,t5,FALSE
,30,80000,2,0.2933519293351929,0.30549505410445205,Tree depth,t5,FALSE
,31,80000,3,0.28881915388191537,0.3021624455547553,Tree depth,t5,FALSE
,32,80000,4,0.2741748024174803,0.2851438925483324,Tree depth,t5,FALSE
,33,80000,5,0.2759181775918177,0.2878837465642788,Tree depth,t5,FALSE
,34,80000,6,0.2670850767085077,0.27403080015068826,Tree depth,t5,FALSE
,35,0,1,0.2723152022315202,0.2801288050337291,Tree depth,t5,FALSE
,36,0,2,0.2708042770804277,0.27855930392896683,Tree depth,t5,FALSE
,37,0,3,0.2702231520223152,0.2757925373429788,Tree depth,t5,FALSE
,38,0,4,0.26522547652254763,0.2716850047770908,Tree depth,t5,FALSE
,39,0,5,0.2688284518828452,0.2746503869537141,Tree depth,t5,FALSE
,40,0,6,0.2640632264063226,0.2695793856156577,Tree depth,t5,FALSE
,41,100000,0,0.30381218038121804,0.31909097181250623,Tree depth,t5,FALSE
,42,100000,1,0.301022780102278,0.3161586146973742,Tree depth,t5,FALSE
,43,100000,2,0.29114365411436544,0.3054374201474937,Tree depth,t5,FALSE
,44,100000,3,0.2899814039981404,0.3013869447964055,Tree depth,t5,FALSE
,45,100000,4,0.28312412831241285,0.29319054238837683,Tree depth,t5,FALSE
,46,100000,5,0.28498372849837283,0.2952894706255717,Tree depth,t5,FALSE
,47,100000,6,0.26231985123198515,0.2691037584778689,Tree depth,t5,FALSE
,48,200000,0,0.3057880055788005,0.32317119246070913,Tree depth,t5,FALSE
,49,200000,1,0.2998605299860529,0.3142905587780125,Tree depth,t5,FALSE
,50,200000,2,0.3004416550441655,0.31533781170641456,Tree depth,t5,FALSE
,51,200000,3,0.301952580195258,0.3101398681737542,Tree depth,t5,FALSE
,52,200000,4,0.2956764295676429,0.30605935969124004,Tree depth,t5,FALSE
,53,200000,5,0.296141329614133,0.30828087950207744,Tree depth,t5,FALSE
,54,200000,6,0.2827754532775453,0.2933218262907507,Tree depth,t5,FALSE
,55,300000,0,0.31206415620641564,0.3289963891546841,Tree depth,t5,FALSE
,56,300000,1,0.2974198047419805,0.3101473287954429,Tree depth,t5,FALSE
,57,300000,2,0.3092747559274756,0.32176068351473663,Tree depth,t5,FALSE
,58,300000,3,0.30602045560204555,0.3200844112618141,Tree depth,t5,FALSE
,59,300000,4,0.29207345420734543,0.3049695307638137,Tree depth,t5,FALSE
,60,300000,5,0.2882380288238029,0.2979504423462854,Tree depth,t5,FALSE
,61,300000,6,0.2876569037656904,0.29976244391276285,Tree depth,t5,FALSE
,62,400000,0,0.3103207810320781,0.3304889239745882,Tree depth,t5,FALSE
,63,400000,1,0.3006741050674105,0.3139485960451203,Tree depth,t5,FALSE
,64,400000,2,0.3067178056717806,0.31941997796099514,Tree depth,t5,FALSE
,65,400000,3,0.3086936308693631,0.32065741874624065,Tree depth,t5,FALSE
,66,400000,4,0.2956764295676429,0.3081373337663399,Tree depth,t5,FALSE
,67,400000,5,0.28637842863784285,0.29569367799189056,Tree depth,t5,FALSE
,68,400000,6,0.2917247791724779,0.30352678447439274,Tree depth,t5,FALSE
,69,500000,0,0.3181078568107857,0.33717749775126377,Tree depth,t5,FALSE
,70,500000,1,0.301255230125523,0.30965011695630623,Tree depth,t5,FALSE
,71,500000,2,0.3034635053463505,0.3142683382050963,Tree depth,t5,FALSE
,72,500000,3,0.3071827057182705,0.3177399651763002,Tree depth,t5,FALSE
,73,500000,4,0.3071827057182705,0.31731688112758066,Tree depth,t5,FALSE
,74,500000,5,0.2918410041841004,0.3004283569699814,Tree depth,t5,FALSE
,75,500000,6,0.2850999535099953,0.2952364501396527,Tree depth,t5,FALSE
,76,600000,0,0.31648070664807065,0.3341591218429605,Tree depth,t5,FALSE
,77,600000,1,0.30299860529986056,0.31416548480608825,Tree depth,t5,FALSE
,78,600000,2,0.3055555555555556,0.3162791612113168,Tree depth,t5,FALSE
,79,600000,3,0.3110181311018131,0.32177646205452765,Tree depth,t5,FALSE
,80,600000,4,0.2918410041841004,0.29907546143146896,Tree depth,t5,FALSE
,81,600000,5,0.2983496048349605,0.3076513313166745,Tree depth,t5,FALSE
,82,600000,6,0.29311947931194793,0.3001522792161994,Tree depth,t5,FALSE
,83,700000,0,0.3167131566713157,0.33345406138774186,Tree depth,t5,FALSE
,84,700000,1,0.3100883310088331,0.3211860738979908,Tree depth,t5,FALSE
,85,700000,2,0.301255230125523,0.30844558606147515,Tree depth,t5,FALSE
,86,700000,3,0.31508600650860064,0.3273871278265487,Tree depth,t5,FALSE
,87,700000,4,0.3081125058112506,0.3175301570200305,Tree depth,t5,FALSE
,88,700000,5,0.30625290562529056,0.3176803313951665,Tree depth,t5,FALSE
,89,700000,6,0.29439795443979544,0.3047226013000131,Tree depth,t5,FALSE
,90,800000,0,0.3160158066015807,0.3353325052216149,Tree depth,t5,FALSE
,91,800000,1,0.3034635053463505,0.3120160212454652,Tree depth,t5,FALSE
,92,800000,2,0.31531845653184565,0.3232658647285403,Tree depth,t5,FALSE
,93,800000,3,0.3084611808461181,0.3125213449909997,Tree depth,t5,FALSE
,94,800000,4,0.300790330079033,0.3107662613725663,Tree depth,t5,FALSE
,95,800000,5,0.29114365411436544,0.2967734771390341,Tree depth,t5,FALSE
,96,800000,6,0.28393770339377034,0.2936369657391097,Tree depth,t5,FALSE
,97,900000,0,0.32659228265922824,0.34384548516572616,Tree depth,t5,FALSE
,98,900000,1,0.30148768014876803,0.3127898275759777,Tree depth,t5,FALSE
,99,900000,2,0.3105532310553231,0.3220555341956637,Tree depth,t5,FALSE
,100,900000,3,0.31322640632264065,0.32410325708105675,Tree depth,t5,FALSE
,101,900000,4,0.3050906555090656,0.3172484253206897,Tree depth,t5,FALSE
,102,900000,5,0.301952580195258,0.3134836571368807,Tree depth,t5,FALSE
,103,900000,6,0.2941655044165504,0.30336679824319435,Tree depth,t5,FALSE
,104,1000000,0,0.31287773128777313,0.3305688348421217,Tree depth,t5,FALSE
,105,1000000,1,0.3018363551836355,0.3130921905213882,Tree depth,t5,FALSE
,106,1000000,2,0.3099721059972106,0.3230694979633892,Tree depth,t5,FALSE
,107,1000000,3,0.3100883310088331,0.32238025012757765,Tree depth,t5,FALSE
,108,1000000,4,0.30497443049744305,0.3162342432776919,Tree depth,t5,FALSE
,109,1000000,5,0.29323570432357043,0.3022100609922447,Tree depth,t5,FALSE
,110,1000000,6,0.2891678289167829,0.2995719876717721,Tree depth,t5,FALSE
,111,1100000,0,0.3217108321710832,0.34072329089085285,Tree depth,t5,FALSE
,112,1100000,1,0.3158995815899582,0.3283389889880131,Tree depth,t5,FALSE
,113,1100000,2,0.31752673175267315,0.3306028028774875,Tree depth,t5,FALSE
,114,1100000,3,0.3249651324965133,0.3365425097673688,Tree depth,t5,FALSE
,115,1100000,4,0.3181078568107857,0.32866364216674576,Tree depth,t5,FALSE
,116,1100000,5,0.2956764295676429,0.3099998109040203,Tree depth,t5,FALSE
